source,trials,success_rate,success_rate_ci_low,success_rate_ci_high,rate_403,source_unavailable_rate,fallback_activation_rate,fallback_ci_low,fallback_ci_high,recipes_mean,recipes_median,recipes_mean_ci_low,recipes_mean_ci_high,recipes_median_ci_low,recipes_median_ci_high,latency_p50_ms,latency_p95_ms,latency_median_ci_low,latency_median_ci_high,completeness_mean,completeness_median,completeness_mean_ci_low,completeness_mean_ci_high,availability_rate,availability_ci_low,availability_ci_high
bbc,100,1.0,0.9630065017930143,1.0,0.0,0.0,0.0,0.0,0.03699349820698569,1.0,1.0,1.0,1.0,1.0,1.0,2474.468100001104,3253.1277750138543,2374.6689000108745,2596.836049997364,1.0,1.0,1.0,1.0,1.0,0.9630065017930143,1.0
serious,100,0.0,0.0,0.03699349820698569,1.0,1.0,1.0,0.9630065017930143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3602.950200001942,5271.038095006952,3531.3242999836802,3687.9085499967914,,,,,0.0,0.0,0.03699349820698569
simply,100,0.0,0.0,0.03699349820698569,1.0,1.0,1.0,0.9630065017930143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3686.4801499905298,5395.269110007212,3553.8285500078928,3780.687749997014,,,,,0.0,0.0,0.03699349820698569
