metric,source_a,source_b,u_statistic,p_value,rank_biserial,p_value_bh
recipes_found,bbc,simply,10000.0,3.5216158823946e-45,-1.0,3.5216158823946e-45
recipes_found,bbc,serious,10000.0,3.5216158823946e-45,-1.0,3.5216158823946e-45
latency_ms,bbc,simply,206.0,1.101377288956446e-31,0.9588,2.1408411164556114e-31
latency_ms,bbc,serious,215.0,1.4272274109704076e-31,0.957,2.1408411164556114e-31
latency_ms,simply,serious,5160.0,0.6967432156308929,-0.03200000000000003,0.6967432156308929
