"Model","Accuracy","Kappa","Sensitivity","Specificity","F1","AUC"
"KNN",0.985645933014354,0.968322134087809,0.986111111111111,0.985401459854015,0.979310344827586,0.999239659367397
"Logistic Regression",0.976076555023923,0.946854498296293,0.958333333333333,0.985401459854015,0.965034965034965,0.998783454987835
"Random Forest",0.980861244019139,0.957623682076237,0.972222222222222,0.985401459854015,0.972222222222222,0.997161394971614
"Decision Tree",0.961722488038278,0.917423943105492,1,0.941605839416058,0.947368421052632,0.983779399837794
