source,trials,success_rate,success_rate_ci_low,success_rate_ci_high,rate_403,source_unavailable_rate,fallback_activation_rate,fallback_ci_low,fallback_ci_high,recipes_mean,recipes_median,recipes_mean_ci_low,recipes_mean_ci_high,recipes_median_ci_low,recipes_median_ci_high,latency_p50_ms,latency_p95_ms,latency_median_ci_low,latency_median_ci_high,completeness_mean,completeness_median,completeness_mean_ci_low,completeness_mean_ci_high,availability_rate,availability_ci_low,availability_ci_high
bbc,20,1.0,0.8388748419471804,0.9999999999999999,0.0,0.0,0.0,0.0,0.1611251580528194,2.0,2.0,2.0,2.0,2.0,2.0,11714.622600004077,12711.898204994215,11324.460649993853,12084.294050000608,1.0,1.0,1.0,1.0,1.0,0.8388748419471804,0.9999999999999999
serious,20,0.2,0.080657662579798,0.4160174322518936,1.0,0.8,1.0,0.8388748419471804,0.9999999999999999,0.35,0.0,0.1,0.7,0.0,0.0,57981.19200000656,175114.59040997725,56940.611350000836,59593.64869998535,1.0,1.0,1.0,1.0,0.2,0.080657662579798,0.4160174322518936
simply,20,0.15,0.052368745896216595,0.36041886474075696,1.0,0.85,1.0,0.8388748419471804,0.9999999999999999,0.3,0.0,0.0,0.6,0.0,0.0,57175.498399999924,125180.48465500907,56965.821899997536,57771.25960000558,1.0,1.0,1.0,1.0,0.15,0.052368745896216595,0.36041886474075696
