run_idx,repeat,query,query_category,source,source_name,source_status,recipes_found,success,has_403,latency_ms,fallback_external_used,fallback_mirror_used,source_unavailable,http_statuses
1,1,chicken curry,main,bbc,BBC Food,ok,2,1,0,11285.143499990227,0,0,0,[200]
2,1,chicken curry,main,simply,Simply Recipes,partial,2,1,1,98300.26980000548,1,1,0,"[202, 403]"
3,1,chicken curry,main,serious,Serious Eats,partial,2,1,1,105140.2734000003,1,1,0,"[202, 403]"
4,1,vegetarian pasta,main,bbc,BBC Food,ok,2,1,0,12140.410000021802,0,0,0,[200]
5,1,vegetarian pasta,main,simply,Simply Recipes,partial,2,1,1,124485.28590000933,1,1,0,"[202, 403]"
6,1,vegetarian pasta,main,serious,Serious Eats,temporarily_unavailable,0,0,1,135201.4763999905,1,1,1,"[202, 403]"
7,1,chocolate cake,dessert,bbc,BBC Food,ok,2,1,0,12027.189199987333,0,0,0,[200]
8,1,chocolate cake,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,17515.645499981474,1,1,1,"[202, 403]"
9,1,chocolate cake,dessert,serious,Serious Eats,partial,2,1,1,174871.7555999756,1,1,0,"[202, 403]"
10,1,beef stew,main,bbc,BBC Food,ok,2,1,0,12056.29740000586,0,0,0,[200]
11,1,beef stew,main,simply,Simply Recipes,partial,2,1,1,138389.2610000039,1,1,0,"[202, 403]"
12,1,beef stew,main,serious,Serious Eats,partial,2,1,1,179728.45180000877,1,1,0,"[202, 403]"
13,1,mushroom soup,main,bbc,BBC Food,ok,2,1,0,11760.502600023756,0,0,0,[200]
14,1,mushroom soup,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,15279.691000003368,1,1,1,"[202, 403]"
15,1,mushroom soup,main,serious,Serious Eats,partial,1,1,1,137007.5167999894,1,1,0,"[202, 403]"
16,1,salmon,main,bbc,BBC Food,ok,2,1,0,12112.290699995356,0,0,0,[200]
17,1,salmon,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,14443.295800010674,1,1,1,"[202, 403]"
18,1,salmon,main,serious,Serious Eats,temporarily_unavailable,0,0,1,15868.727299995953,1,1,1,"[202, 403]"
19,1,lentil dal,main,bbc,BBC Food,ok,2,1,0,11054.125900001964,0,0,0,[200]
