source,trials,success_rate,success_ci_low,success_ci_high,availability_rate,availability_ci_low,availability_ci_high,rate_403,source_unavailable_rate,fallback_activation_rate,fallback_ci_low,fallback_ci_high,recipes_mean,recipes_median,recipes_mean_ci_low,recipes_mean_ci_high,recipes_median_ci_low,recipes_median_ci_high,latency_p50_ms,latency_p95_ms,latency_median_ci_low,latency_median_ci_high
bbc,8,1.0,0.6755924351161198,1.0,1.0,0.6755924351161198,1.0,0.0,0.0,0.0,0.0,0.32440756488388034,2.0,2.0,2.0,2.0,2.0,2.0,6937.542449999995,7730.269709999999,6492.873499999973,7261.180700000012
bbcgoodfood,8,1.0,0.6755924351161198,1.0,1.0,0.6755924351161198,1.0,0.0,0.0,0.0,0.0,0.32440756488388034,2.0,2.0,2.0,2.0,2.0,2.0,6627.390050000031,7484.7700100000075,6364.451299999984,6893.270400000006
foodafactoflife,8,1.0,0.6755924351161198,1.0,1.0,0.6755924351161198,1.0,0.0,0.0,0.0,0.0,0.32440756488388034,1.5,1.5,1.125,1.875,1.0,2.0,5486.853549999978,7237.1454800000065,4765.6504999999925,7213.358599999992
ocado,8,1.0,0.6755924351161198,1.0,1.0,0.6755924351161198,1.0,0.0,0.0,0.0,0.0,0.32440756488388034,2.0,2.0,2.0,2.0,2.0,2.0,6930.443950000012,7469.896725000015,5900.851100000011,7388.7075000000095
realfooddietitians,8,1.0,0.6755924351161198,1.0,1.0,0.6755924351161198,1.0,0.0,0.0,0.0,0.0,0.32440756488388034,2.0,2.0,2.0,2.0,2.0,2.0,8774.793250000017,10623.88604999999,7094.300500000003,10072.479999999985
tomkerridge,8,1.0,0.6755924351161198,1.0,1.0,0.6755924351161198,1.0,0.0,0.0,0.0,0.0,0.32440756488388034,1.875,2.0,1.625,2.0,2.0,2.0,8167.256200000012,8790.283715000018,7717.764499999987,8445.122599999992
