repeat,query,query_category,latency_ms,recipes_found_total,query_success,distinct_sources_returned,duplicate_rate,source_status
1,chicken curry,main,43546.550800000005,11,1,6,0.0,"{""bbc"": {""id"": ""bbc"", ""name"": ""BBC Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""bbcgoodfood"": {""id"": ""bbcgoodfood"", ""name"": ""BBC Good Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""foodafactoflife"": {""id"": ""foodafactoflife"", ""name"": ""Food - a Fact of Life"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 1, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""ocado"": {""id"": ""ocado"", ""name"": ""Ocado"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""realfooddietitians"": {""id"": ""realfooddietitians"", ""name"": ""The Real Food Dietitians"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""tomkerridge"": {""id"": ""tomkerridge"", ""name"": ""Tom Kerridge"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}}"
1,vegetarian pasta,main,43214.232500000035,11,1,6,0.0,"{""bbc"": {""id"": ""bbc"", ""name"": ""BBC Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""bbcgoodfood"": {""id"": ""bbcgoodfood"", ""name"": ""BBC Good Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""foodafactoflife"": {""id"": ""foodafactoflife"", ""name"": ""Food - a Fact of Life"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 1, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""ocado"": {""id"": ""ocado"", ""name"": ""Ocado"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""realfooddietitians"": {""id"": ""realfooddietitians"", ""name"": ""The Real Food Dietitians"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""tomkerridge"": {""id"": ""tomkerridge"", ""name"": ""Tom Kerridge"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}}"
1,chocolate cake,dessert,44252.0351,11,1,6,0.0,"{""bbc"": {""id"": ""bbc"", ""name"": ""BBC Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""bbcgoodfood"": {""id"": ""bbcgoodfood"", ""name"": ""BBC Good Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""foodafactoflife"": {""id"": ""foodafactoflife"", ""name"": ""Food - a Fact of Life"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 1, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""ocado"": {""id"": ""ocado"", ""name"": ""Ocado"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""realfooddietitians"": {""id"": ""realfooddietitians"", ""name"": ""The Real Food Dietitians"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""tomkerridge"": {""id"": ""tomkerridge"", ""name"": ""Tom Kerridge"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}}"
1,beef stew,main,43942.9935,12,1,6,0.0,"{""bbc"": {""id"": ""bbc"", ""name"": ""BBC Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""bbcgoodfood"": {""id"": ""bbcgoodfood"", ""name"": ""BBC Good Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""foodafactoflife"": {""id"": ""foodafactoflife"", ""name"": ""Food - a Fact of Life"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""ocado"": {""id"": ""ocado"", ""name"": ""Ocado"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""realfooddietitians"": {""id"": ""realfooddietitians"", ""name"": ""The Real Food Dietitians"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""tomkerridge"": {""id"": ""tomkerridge"", ""name"": ""Tom Kerridge"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}}"
1,mushroom soup,main,45719.50199999998,11,1,6,0.0,"{""bbc"": {""id"": ""bbc"", ""name"": ""BBC Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""bbcgoodfood"": {""id"": ""bbcgoodfood"", ""name"": ""BBC Good Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""foodafactoflife"": {""id"": ""foodafactoflife"", ""name"": ""Food - a Fact of Life"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 1, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""ocado"": {""id"": ""ocado"", ""name"": ""Ocado"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""realfooddietitians"": {""id"": ""realfooddietitians"", ""name"": ""The Real Food Dietitians"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""tomkerridge"": {""id"": ""tomkerridge"", ""name"": ""Tom Kerridge"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}}"
1,salmon,main,45471.13580000001,12,1,6,0.0,"{""bbc"": {""id"": ""bbc"", ""name"": ""BBC Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""bbcgoodfood"": {""id"": ""bbcgoodfood"", ""name"": ""BBC Good Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""foodafactoflife"": {""id"": ""foodafactoflife"", ""name"": ""Food - a Fact of Life"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""ocado"": {""id"": ""ocado"", ""name"": ""Ocado"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""realfooddietitians"": {""id"": ""realfooddietitians"", ""name"": ""The Real Food Dietitians"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""tomkerridge"": {""id"": ""tomkerridge"", ""name"": ""Tom Kerridge"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}}"
1,lentil dal,main,42547.3144,11,1,6,0.0,"{""bbc"": {""id"": ""bbc"", ""name"": ""BBC Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""bbcgoodfood"": {""id"": ""bbcgoodfood"", ""name"": ""BBC Good Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""foodafactoflife"": {""id"": ""foodafactoflife"", ""name"": ""Food - a Fact of Life"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""ocado"": {""id"": ""ocado"", ""name"": ""Ocado"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""realfooddietitians"": {""id"": ""realfooddietitians"", ""name"": ""The Real Food Dietitians"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""tomkerridge"": {""id"": ""tomkerridge"", ""name"": ""Tom Kerridge"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 1, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}}"
1,apple pie,dessert,46587.84109999993,12,1,6,0.0,"{""bbc"": {""id"": ""bbc"", ""name"": ""BBC Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""bbcgoodfood"": {""id"": ""bbcgoodfood"", ""name"": ""BBC Good Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""foodafactoflife"": {""id"": ""foodafactoflife"", ""name"": ""Food - a Fact of Life"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""ocado"": {""id"": ""ocado"", ""name"": ""Ocado"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""realfooddietitians"": {""id"": ""realfooddietitians"", ""name"": ""The Real Food Dietitians"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""tomkerridge"": {""id"": ""tomkerridge"", ""name"": ""Tom Kerridge"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}}"
