source,trials,success_rate,success_rate_ci_low,success_rate_ci_high,rate_403,source_unavailable_rate,fallback_activation_rate,fallback_ci_low,fallback_ci_high,recipes_mean,recipes_median,recipes_mean_ci_low,recipes_mean_ci_high,recipes_median_ci_low,recipes_median_ci_high,latency_p50_ms,latency_p95_ms,latency_median_ci_low,latency_median_ci_high,completeness_mean,completeness_median,completeness_mean_ci_low,completeness_mean_ci_high,availability_rate,availability_ci_low,availability_ci_high
bbc,10,1.0,0.7224672001371106,1.0,0.0,0.0,0.0,0.0,0.27753279986288926,2.0,2.0,2.0,2.0,2.0,2.0,11700.46320000256,12295.664179998857,11249.10240000463,11979.454999993322,1.0,1.0,1.0,1.0,1.0,0.7224672001371106,1.0
serious,10,0.2,0.056682151454375246,0.5098375284633583,1.0,0.8,1.0,0.7224672001371106,1.0,0.4,0.0,0.0,1.0,0.0,1.0,57762.72845000494,197378.9597500057,35971.872449998045,153086.75210000365,1.0,1.0,1.0,1.0,0.2,0.056682151454375246,0.5098375284633583
simply,10,0.3,0.10779126740630104,0.6032218525388546,1.0,0.7,1.0,0.7224672001371106,1.0,0.6,0.0,0.0,1.2,0.0,2.0,57573.33385001402,157999.06391999827,15912.857599993004,141938.74780001352,1.0,1.0,1.0,1.0,0.3,0.10779126740630104,0.6032218525388546
