source_a,source_b,odds_ratio,or_ci_low,or_ci_high
bbc,simply,45.0,2.0114296268110072,1006.7466308580263
bbc,serious,71.4,3.0045551332063556,1696.743702139901
simply,serious,1.7142857142857142,0.219206050831717,13.4064525091972
