run_idx,repeat,query,query_category,source,source_name,source_status,recipes_found,success,latency_ms,has_403,has_429,source_unavailable,fallback_external_used,fallback_mirror_used
1,1,chicken curry,main,bbc,BBC Food,ok,2,1,5818.400699999984,0,0,0,0,0
2,1,chicken curry,main,bbcgoodfood,BBC Good Food,ok,2,1,6023.9570000001095,0,0,0,0,0
3,1,chicken curry,main,foodafactoflife,Food - a Fact of Life,ok,1,1,4534.306900000047,0,0,0,0,0
4,1,chicken curry,main,ocado,Ocado,ok,2,1,6903.294899999992,0,0,0,0,0
5,1,chicken curry,main,realfooddietitians,The Real Food Dietitians,ok,2,1,8103.957100000116,0,0,0,0,0
6,1,chicken curry,main,tomkerridge,Tom Kerridge,ok,2,1,7504.456800000071,0,0,0,0,0
7,1,vegetarian pasta,main,bbc,BBC Food,ok,2,1,6398.832000000084,0,0,0,0,0
8,1,vegetarian pasta,main,bbcgoodfood,BBC Good Food,ok,2,1,5544.280200000003,0,0,0,0,0
9,1,vegetarian pasta,main,foodafactoflife,Food - a Fact of Life,ok,1,1,4349.431699999968,0,0,0,0,0
10,1,vegetarian pasta,main,ocado,Ocado,ok,2,1,7724.223799999891,0,0,0,0,0
11,1,vegetarian pasta,main,realfooddietitians,The Real Food Dietitians,ok,2,1,6111.033600000155,0,0,0,0,0
12,1,vegetarian pasta,main,tomkerridge,Tom Kerridge,ok,2,1,8408.304100000123,0,0,0,0,0
13,1,chocolate cake,dessert,bbc,BBC Food,ok,2,1,6275.809900000013,0,0,0,0,0
14,1,chocolate cake,dessert,bbcgoodfood,BBC Good Food,ok,2,1,7125.914899999998,0,0,0,0,0
15,1,chocolate cake,dessert,foodafactoflife,Food - a Fact of Life,ok,1,1,5012.312300000076,0,0,0,0,0
16,1,chocolate cake,dessert,ocado,Ocado,ok,2,1,6422.601600000007,0,0,0,0,0
17,1,chocolate cake,dessert,realfooddietitians,The Real Food Dietitians,ok,2,1,8829.024200000049,0,0,0,0,0
18,1,chocolate cake,dessert,tomkerridge,Tom Kerridge,ok,2,1,7879.752900000085,0,0,0,0,0
19,1,beef stew,main,bbc,BBC Food,ok,2,1,6787.293800000043,0,0,0,0,0
20,1,beef stew,main,bbcgoodfood,BBC Good Food,ok,2,1,7077.067400000033,0,0,0,0,0
21,1,beef stew,main,foodafactoflife,Food - a Fact of Life,ok,2,1,6845.828199999914,0,0,0,0,0
22,1,beef stew,main,ocado,Ocado,ok,2,1,6812.343800000008,0,0,0,0,0
23,1,beef stew,main,realfooddietitians,The Real Food Dietitians,ok,2,1,6730.105999999978,0,0,0,0,0
24,1,beef stew,main,tomkerridge,Tom Kerridge,ok,2,1,8285.046700000066,0,0,0,0,0
25,1,mushroom soup,main,bbc,BBC Food,ok,2,1,6458.04360000011,0,0,0,0,0
26,1,mushroom soup,main,bbcgoodfood,BBC Good Food,ok,2,1,5659.056700000065,0,0,0,0,0
27,1,mushroom soup,main,foodafactoflife,Food - a Fact of Life,ok,1,1,4445.415400000002,0,0,0,0,0
28,1,mushroom soup,main,ocado,Ocado,ok,2,1,7522.791500000039,0,0,0,0,0
29,1,mushroom soup,main,realfooddietitians,The Real Food Dietitians,ok,2,1,9196.165900000096,0,0,0,0,0
30,1,mushroom soup,main,tomkerridge,Tom Kerridge,ok,2,1,7263.0931999999575,0,0,0,0,0
31,1,salmon,main,bbc,BBC Food,ok,2,1,6319.6848999998565,0,0,0,0,0
32,1,salmon,main,bbcgoodfood,BBC Good Food,ok,2,1,6492.5687999998445,0,0,0,0,0
33,1,salmon,main,foodafactoflife,Food - a Fact of Life,ok,2,1,6536.531700000069,0,0,0,0,0
34,1,salmon,main,ocado,Ocado,ok,2,1,6740.228699999989,0,0,0,0,0
35,1,salmon,main,realfooddietitians,The Real Food Dietitians,ok,2,1,6944.221299999981,0,0,0,0,0
36,1,salmon,main,tomkerridge,Tom Kerridge,ok,2,1,7716.899900000044,0,0,0,0,0
37,1,lentil dal,main,bbc,BBC Food,ok,2,1,6066.074499999786,0,0,0,0,0
38,1,lentil dal,main,bbcgoodfood,BBC Good Food,ok,2,1,7088.901299999861,0,0,0,0,0
39,1,lentil dal,main,foodafactoflife,Food - a Fact of Life,ok,2,1,7185.910299999932,0,0,0,0,0
40,1,lentil dal,main,ocado,Ocado,ok,2,1,6077.120399999785,0,0,0,0,0
41,1,lentil dal,main,realfooddietitians,The Real Food Dietitians,ok,2,1,8376.342600000044,0,0,0,0,0
42,1,lentil dal,main,tomkerridge,Tom Kerridge,ok,1,1,6269.976400000132,0,0,0,0,0
43,1,apple pie,dessert,bbc,BBC Food,ok,2,1,6613.419099999874,0,0,0,0,0
44,1,apple pie,dessert,bbcgoodfood,BBC Good Food,ok,2,1,6462.678200000028,0,0,0,0,0
45,1,apple pie,dessert,foodafactoflife,Food - a Fact of Life,ok,2,1,7134.941000000026,0,0,0,0,0
46,1,apple pie,dessert,ocado,Ocado,ok,2,1,6611.241800000016,0,0,0,0,0
47,1,apple pie,dessert,realfooddietitians,The Real Food Dietitians,ok,2,1,7136.590999999953,0,0,0,0,0
48,1,apple pie,dessert,tomkerridge,Tom Kerridge,ok,2,1,8147.19429999991,0,0,0,0,0
