repeat,query,query_category,latency_ms,recipes_found_total,query_success,distinct_sources_returned,duplicate_rate,source_status
1,chicken curry,main,40531.518099999856,11,1,6,0.0,"{""bbc"": {""id"": ""bbc"", ""name"": ""BBC Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""bbcgoodfood"": {""id"": ""bbcgoodfood"", ""name"": ""BBC Good Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""foodafactoflife"": {""id"": ""foodafactoflife"", ""name"": ""Food - a Fact of Life"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 1, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""ocado"": {""id"": ""ocado"", ""name"": ""Ocado"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""realfooddietitians"": {""id"": ""realfooddietitians"", ""name"": ""The Real Food Dietitians"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""tomkerridge"": {""id"": ""tomkerridge"", ""name"": ""Tom Kerridge"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}}"
1,vegetarian pasta,main,39907.894299999956,11,1,6,0.0,"{""bbc"": {""id"": ""bbc"", ""name"": ""BBC Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""bbcgoodfood"": {""id"": ""bbcgoodfood"", ""name"": ""BBC Good Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""foodafactoflife"": {""id"": ""foodafactoflife"", ""name"": ""Food - a Fact of Life"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 1, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""ocado"": {""id"": ""ocado"", ""name"": ""Ocado"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""realfooddietitians"": {""id"": ""realfooddietitians"", ""name"": ""The Real Food Dietitians"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""tomkerridge"": {""id"": ""tomkerridge"", ""name"": ""Tom Kerridge"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}}"
1,chocolate cake,dessert,42882.339300000014,11,1,6,0.0,"{""bbc"": {""id"": ""bbc"", ""name"": ""BBC Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""bbcgoodfood"": {""id"": ""bbcgoodfood"", ""name"": ""BBC Good Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""foodafactoflife"": {""id"": ""foodafactoflife"", ""name"": ""Food - a Fact of Life"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 1, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""ocado"": {""id"": ""ocado"", ""name"": ""Ocado"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""realfooddietitians"": {""id"": ""realfooddietitians"", ""name"": ""The Real Food Dietitians"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""tomkerridge"": {""id"": ""tomkerridge"", ""name"": ""Tom Kerridge"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}}"
1,beef stew,main,44102.010500000004,12,1,6,0.0,"{""bbc"": {""id"": ""bbc"", ""name"": ""BBC Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""bbcgoodfood"": {""id"": ""bbcgoodfood"", ""name"": ""BBC Good Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""foodafactoflife"": {""id"": ""foodafactoflife"", ""name"": ""Food - a Fact of Life"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""ocado"": {""id"": ""ocado"", ""name"": ""Ocado"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""realfooddietitians"": {""id"": ""realfooddietitians"", ""name"": ""The Real Food Dietitians"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""tomkerridge"": {""id"": ""tomkerridge"", ""name"": ""Tom Kerridge"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}}"
1,mushroom soup,main,42055.78749999995,11,1,6,0.0,"{""bbc"": {""id"": ""bbc"", ""name"": ""BBC Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""bbcgoodfood"": {""id"": ""bbcgoodfood"", ""name"": ""BBC Good Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""foodafactoflife"": {""id"": ""foodafactoflife"", ""name"": ""Food - a Fact of Life"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 1, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""ocado"": {""id"": ""ocado"", ""name"": ""Ocado"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""realfooddietitians"": {""id"": ""realfooddietitians"", ""name"": ""The Real Food Dietitians"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""tomkerridge"": {""id"": ""tomkerridge"", ""name"": ""Tom Kerridge"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}}"
1,salmon,main,42287.73350000006,12,1,6,0.0,"{""bbc"": {""id"": ""bbc"", ""name"": ""BBC Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""bbcgoodfood"": {""id"": ""bbcgoodfood"", ""name"": ""BBC Good Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""foodafactoflife"": {""id"": ""foodafactoflife"", ""name"": ""Food - a Fact of Life"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""ocado"": {""id"": ""ocado"", ""name"": ""Ocado"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""realfooddietitians"": {""id"": ""realfooddietitians"", ""name"": ""The Real Food Dietitians"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""tomkerridge"": {""id"": ""tomkerridge"", ""name"": ""Tom Kerridge"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}}"
1,lentil dal,main,42501.81610000004,11,1,6,0.0,"{""bbc"": {""id"": ""bbc"", ""name"": ""BBC Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""bbcgoodfood"": {""id"": ""bbcgoodfood"", ""name"": ""BBC Good Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""foodafactoflife"": {""id"": ""foodafactoflife"", ""name"": ""Food - a Fact of Life"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""ocado"": {""id"": ""ocado"", ""name"": ""Ocado"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""realfooddietitians"": {""id"": ""realfooddietitians"", ""name"": ""The Real Food Dietitians"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""tomkerridge"": {""id"": ""tomkerridge"", ""name"": ""Tom Kerridge"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 1, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}}"
1,apple pie,dessert,43536.79680000005,12,1,6,0.0,"{""bbc"": {""id"": ""bbc"", ""name"": ""BBC Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""bbcgoodfood"": {""id"": ""bbcgoodfood"", ""name"": ""BBC Good Food"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""foodafactoflife"": {""id"": ""foodafactoflife"", ""name"": ""Food - a Fact of Life"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""ocado"": {""id"": ""ocado"", ""name"": ""Ocado"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""realfooddietitians"": {""id"": ""realfooddietitians"", ""name"": ""The Real Food Dietitians"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}, ""tomkerridge"": {""id"": ""tomkerridge"", ""name"": ""Tom Kerridge"", ""status"": ""ok"", ""message"": ""Source available"", ""recipes_found"": 2, ""http_statuses"": [200], ""fallbacks_used"": {""external_search"": false, ""mirror"": false}}}"
