run_idx,repeat,query,query_category,source,source_name,source_status,recipes_found,success,has_403,latency_ms,fallback_external_used,fallback_mirror_used,source_unavailable,http_statuses
1,1,chicken curry,main,bbc,BBC Food,ok,1,1,0,2462.3651999863796,0,0,0,[200]
2,1,chicken curry,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,6762.59579998441,0,1,1,[403]
3,1,chicken curry,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3606.180700007826,0,1,1,[403]
4,1,vegetarian pasta,main,bbc,BBC Food,ok,1,1,0,2945.6630000204314,0,0,0,[200]
5,1,vegetarian pasta,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3937.176100007491,0,1,1,[403]
6,1,vegetarian pasta,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3068.289199989522,0,1,1,[403]
7,1,chocolate cake,dessert,bbc,BBC Food,ok,1,1,0,2073.930199985625,0,0,0,[200]
8,1,chocolate cake,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,3167.5348000135273,0,1,1,[403]
9,1,chocolate cake,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,3536.2826000200585,0,1,1,[403]
10,1,beef stew,main,bbc,BBC Food,ok,1,1,0,1691.4709999982733,0,0,0,[200]
11,1,beef stew,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3698.355000000447,0,1,1,[403]
12,1,beef stew,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3576.8763000087347,0,1,1,[403]
13,1,mushroom soup,main,bbc,BBC Food,ok,1,1,0,2389.5011999993585,0,0,0,[200]
14,1,mushroom soup,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3869.7032000054605,0,1,1,[403]
15,1,mushroom soup,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3057.8031000040937,0,1,1,[403]
16,1,salmon,main,bbc,BBC Food,ok,1,1,0,2875.3942999755964,0,0,0,[200]
17,1,salmon,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3440.510999993421,0,1,1,[403]
18,1,salmon,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3161.4480999996886,0,1,1,[403]
19,1,lentil dal,main,bbc,BBC Food,ok,1,1,0,2710.1258999900892,0,0,0,[200]
20,1,lentil dal,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3121.1533000168856,0,1,1,[403]
21,1,lentil dal,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3115.9498000051826,0,1,1,[403]
22,1,apple pie,dessert,bbc,BBC Food,ok,1,1,0,2885.0585000182036,0,0,0,[200]
23,1,apple pie,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,3976.307499979157,0,1,1,[403]
24,1,apple pie,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,3732.9653999768198,0,1,1,[403]
25,1,lasagne,main,bbc,BBC Food,ok,1,1,0,3171.5790999878664,0,0,0,[200]
26,1,lasagne,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,5236.810300004436,0,1,1,[403]
27,1,lasagne,main,serious,Serious Eats,temporarily_unavailable,0,0,1,5441.830800002208,0,1,1,[403]
28,1,thai curry,main,bbc,BBC Food,ok,1,1,0,2935.877999989316,0,0,0,[200]
29,1,thai curry,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,4460.855799989076,0,1,1,[403]
30,1,thai curry,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3661.638599995058,0,1,1,[403]
31,1,brownies,dessert,bbc,BBC Food,ok,1,1,0,2420.806400012225,0,0,0,[200]
32,1,brownies,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,3307.871899974998,0,1,1,[403]
33,1,brownies,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,3310.7604999968316,0,1,1,[403]
34,1,risotto,main,bbc,BBC Food,ok,1,1,0,1814.45010000607,0,0,0,[200]
35,1,risotto,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3149.995099985972,0,1,1,[403]
36,1,risotto,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3438.348199997563,0,1,1,[403]
37,1,vegan burger,main,bbc,BBC Food,ok,1,1,0,2632.279000012204,0,0,0,[200]
38,1,vegan burger,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3416.8103999982122,0,1,1,[403]
39,1,vegan burger,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3325.2755999856163,0,1,1,[403]
40,1,banana bread,dessert,bbc,BBC Food,ok,1,1,0,3052.4108999816235,0,0,0,[200]
41,1,banana bread,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,3717.4414999899454,0,1,1,[403]
42,1,banana bread,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,3586.428500013426,0,1,1,[403]
43,1,roast chicken,main,bbc,BBC Food,ok,1,1,0,2576.013999991119,0,0,0,[200]
44,1,roast chicken,main,simply,Simply Recipes,temporarily_unavailable,0,0,1,3191.1744000099134,0,1,1,[403]
45,1,roast chicken,main,serious,Serious Eats,temporarily_unavailable,0,0,1,3384.9808999802917,0,1,1,[403]
46,1,tacos,main,bbc,BBC Food,ok,1,1,0,3199.1360999818426,0,0,0,[200]
