metric,source_a,source_b,u_statistic,p_value,rank_biserial,p_value_bh
recipes_found,bbc,simply,10000.0,3.5216158823946e-45,-1.0,5.2824238235919005e-45
recipes_found,bbc,serious,10000.0,3.5216158823946e-45,-1.0,5.2824238235919005e-45
recipes_found,simply,serious,5000.0,1.0,0.0,1.0
latency_ms,bbc,simply,327.0,3.4495257915484765e-30,0.9346,5.174288687322715e-30
latency_ms,bbc,serious,299.0,1.5666429120865192e-30,0.9402,4.699928736259558e-30
latency_ms,simply,serious,4956.0,0.9153543151414957,0.00880000000000003,0.9153543151414957
