source_a,source_b,odds_ratio,or_ci_low,or_ci_high
bbc,simply,40401.0,793.8883867735783,2056007.907652546
bbc,serious,40401.0,793.8883867735783,2056007.907652546
simply,serious,1.0,0.01965021625141899,50.89002518879595
