metric,source_a,source_b,u_statistic,p_value,rank_biserial,p_value_bh
recipes_found,bbc,simply,6.0,0.5049850750938458,-0.33333333333333326,0.7574776126407687
recipes_found,bbc,serious,6.0,0.5049850750938458,-0.33333333333333326,0.7574776126407687
recipes_found,simply,serious,4.5,1.0,0.0,1.0
latency_ms,bbc,simply,0.0,0.1,1.0,0.15000000000000002
latency_ms,bbc,serious,0.0,0.1,1.0,0.15000000000000002
latency_ms,simply,serious,2.0,0.4,0.5555555555555556,0.4
completeness_score,bbc,simply,3.0,1.0,0.0,1.0
completeness_score,bbc,serious,3.0,1.0,0.0,1.0
completeness_score,simply,serious,2.0,1.0,0.0,1.0
