run_idx,repeat,query,query_category,source,source_name,source_status,recipes_found,success,has_403,latency_ms,fallback_external_used,fallback_mirror_used,source_unavailable,http_statuses
1,1,chicken curry,main,bbc,BBC Food,ok,1,1,0,11163.202900002943,0,0,0,[200]
2,1,chicken curry,main,simply,Simply Recipes,partial,1,1,1,177035.80939999665,1,1,0,"[202, 403]"
3,1,chicken curry,main,serious,Serious Eats,partial,1,1,1,188278.29440002097,1,1,0,"[202, 403]"
4,1,vegetarian pasta,main,bbc,BBC Food,ok,1,1,0,11969.100800022716,0,0,0,[200]
5,1,vegetarian pasta,main,simply,Simply Recipes,partial,1,1,1,152264.89340001717,1,1,0,"[202, 403]"
6,1,vegetarian pasta,main,serious,Serious Eats,temporarily_unavailable,0,0,1,181946.49160001427,1,1,1,"[202, 403]"
7,1,chocolate cake,dessert,bbc,BBC Food,ok,1,1,0,12107.74659999879,0,0,0,[200]
8,1,chocolate cake,dessert,simply,Simply Recipes,temporarily_unavailable,0,0,1,14908.165900007589,1,1,1,"[202, 403]"
9,1,chocolate cake,dessert,serious,Serious Eats,partial,1,1,1,150231.4136000059,1,1,0,"[202, 403]"
