source_a,source_b,odds_ratio,or_ci_low,or_ci_high
bbc,simply,4.2,0.11607564775603273,151.96986052643604
bbc,serious,4.2,0.11607564775603273,151.96986052643604
simply,serious,1.0,0.03354869873265655,29.807415422243864
