source,trials,success_rate,success_rate_ci_low,success_rate_ci_high,rate_403,source_unavailable_rate,fallback_activation_rate,fallback_ci_low,fallback_ci_high,recipes_mean,recipes_median,recipes_mean_ci_low,recipes_mean_ci_high,recipes_median_ci_low,recipes_median_ci_high,latency_p50_ms,latency_p95_ms,latency_median_ci_low,latency_median_ci_high,completeness_mean,completeness_median,completeness_mean_ci_low,completeness_mean_ci_high,availability_rate,availability_ci_low,availability_ci_high
bbc,3,1.0,0.43850296824495444,1.0,0.0,0.0,0.0,0.0,0.5614970317550455,1.0,1.0,1.0,1.0,1.0,1.0,11969.100800022716,12093.882020001183,11163.202900002943,12107.74659999879,1.0,1.0,1.0,1.0,1.0,0.43850296824495444,1.0
serious,3,0.6666666666666666,0.2076596008020477,0.9385080552796037,1.0,0.3333333333333333,1.0,0.43850296824495444,1.0,0.6666666666666666,1.0,0.0,1.0,0.0,1.0,181946.49160001427,187645.1141200203,150231.4136000059,188278.29440002097,1.0,1.0,1.0,1.0,0.6666666666666666,0.2076596008020477,0.9385080552796037
simply,3,0.6666666666666666,0.2076596008020477,0.9385080552796037,1.0,0.3333333333333333,1.0,0.43850296824495444,1.0,0.6666666666666666,1.0,0.0,1.0,0.0,1.0,152264.89340001717,174558.7177999987,14908.165900007589,177035.80939999665,1.0,1.0,1.0,1.0,0.6666666666666666,0.2076596008020477,0.9385080552796037
