source,trials,success_rate,success_ci_low,success_ci_high,availability_rate,availability_ci_low,availability_ci_high,rate_403,source_unavailable_rate,fallback_activation_rate,fallback_ci_low,fallback_ci_high,recipes_mean,recipes_median,recipes_mean_ci_low,recipes_mean_ci_high,recipes_median_ci_low,recipes_median_ci_high,latency_p50_ms,latency_p95_ms,latency_median_ci_low,latency_median_ci_high
bbc,8,1.0,0.6755924351161198,1.0,1.0,0.6755924351161198,1.0,0.0,0.0,0.0,0.0,0.32440756488388034,2.0,2.0,2.0,2.0,2.0,2.0,6908.871850000196,7483.385209999551,6137.301300000217,7372.518917499897
bbcgoodfood,8,1.0,0.6755924351161198,1.0,1.0,0.6755924351161198,1.0,0.0,0.0,0.0,0.0,0.32440756488388034,2.0,2.0,2.0,2.0,2.0,2.0,6747.8211000002375,6975.917474999915,6527.296799999931,6892.962199999602
foodafactoflife,8,1.0,0.6755924351161198,1.0,1.0,0.6755924351161198,1.0,0.0,0.0,0.0,0.0,0.32440756488388034,1.5,1.5,1.125,1.875,1.0,2.0,6066.523699999834,7311.768900000152,5032.2266000002855,6826.24880000003
ocado,8,1.0,0.6755924351161198,1.0,1.0,0.6755924351161198,1.0,0.0,0.0,0.0,0.0,0.32440756488388034,2.0,2.0,2.0,2.0,2.0,2.0,6942.791399999805,7346.1257999998,6712.522499999977,7190.160900000592
realfooddietitians,8,1.0,0.6755924351161198,1.0,1.0,0.6755924351161198,1.0,0.0,0.0,0.0,0.0,0.32440756488388034,2.0,2.0,2.0,2.0,2.0,2.0,7552.811149999798,8936.363890000484,6831.776600000012,8911.33979999995
tomkerridge,8,1.0,0.6755924351161198,1.0,1.0,0.6755924351161198,1.0,0.0,0.0,0.0,0.0,0.32440756488388034,1.875,2.0,1.625,2.0,2.0,2.0,8055.696750000152,8776.119340000241,7678.621699999894,8743.104799999855
