source,query,allergen,confidence,ground_truth,ground_truth_source
bbc,mushroom soup,milk,HIGH,1,manual_annotations
bbc,mushroom soup,sulphites,MEDIUM,0,manual_annotations
bbcgoodfood,mushroom soup,gluten,MEDIUM,0,manual_annotations
bbcgoodfood,mushroom soup,milk,HIGH,1,manual_annotations
bbcgoodfood,mushroom soup,nuts,HIGH,0,manual_annotations
bbcgoodfood,mushroom soup,nuts,HIGH,0,manual_annotations
foodafactoflife,mushroom soup,gluten,HIGH,1,manual_annotations
ocado,mushroom soup,fish,HIGH,1,manual_annotations
ocado,mushroom soup,celery,HIGH,0,manual_annotations
ocado,mushroom soup,gluten,MEDIUM,1,manual_annotations
ocado,mushroom soup,eggs,HIGH,1,manual_annotations
ocado,mushroom soup,milk,HIGH,1,manual_annotations
ocado,mushroom soup,nuts,HIGH,0,manual_annotations
realfooddietitians,mushroom soup,gluten,MEDIUM,0,manual_annotations
realfooddietitians,mushroom soup,celery,HIGH,1,manual_annotations
realfooddietitians,mushroom soup,milk,HIGH,0,manual_annotations
tomkerridge,mushroom soup,gluten,HIGH,1,manual_annotations
tomkerridge,mushroom soup,molluscs,HIGH,0,manual_annotations
tomkerridge,mushroom soup,sesame,HIGH,0,manual_annotations
tomkerridge,mushroom soup,soya,HIGH,0,manual_annotations
tomkerridge,mushroom soup,sulphites,MEDIUM,0,manual_annotations
tomkerridge,mushroom soup,gluten,HIGH,0,manual_annotations
tomkerridge,mushroom soup,eggs,HIGH,0,manual_annotations
tomkerridge,mushroom soup,soya,HIGH,0,manual_annotations
bbc,salmon,fish,HIGH,1,manual_annotations
bbc,salmon,gluten,HIGH,1,manual_annotations
bbc,salmon,eggs,HIGH,1,manual_annotations
bbc,salmon,fish,HIGH,1,manual_annotations
bbc,salmon,milk,HIGH,1,manual_annotations
bbc,salmon,sulphites,MEDIUM,0,manual_annotations
bbcgoodfood,salmon,fish,HIGH,1,manual_annotations
bbcgoodfood,salmon,milk,HIGH,1,manual_annotations
bbcgoodfood,salmon,gluten,HIGH,1,manual_annotations
bbcgoodfood,salmon,fish,HIGH,1,manual_annotations
bbcgoodfood,salmon,sesame,HIGH,1,manual_annotations
bbcgoodfood,salmon,soya,HIGH,1,manual_annotations
foodafactoflife,salmon,gluten,MEDIUM,1,manual_annotations
foodafactoflife,salmon,eggs,HIGH,1,manual_annotations
foodafactoflife,salmon,gluten,HIGH,1,manual_annotations
foodafactoflife,salmon,milk,HIGH,1,manual_annotations
ocado,salmon,fish,HIGH,1,manual_annotations
ocado,salmon,gluten,HIGH,0,manual_annotations
ocado,salmon,fish,HIGH,1,manual_annotations
ocado,salmon,milk,HIGH,1,manual_annotations
ocado,salmon,sesame,HIGH,1,manual_annotations
ocado,salmon,soya,HIGH,0,manual_annotations
realfooddietitians,salmon,fish,HIGH,1,manual_annotations
realfooddietitians,salmon,milk,HIGH,1,manual_annotations
realfooddietitians,salmon,fish,HIGH,1,manual_annotations
tomkerridge,salmon,eggs,HIGH,1,manual_annotations
tomkerridge,salmon,fish,HIGH,1,manual_annotations
tomkerridge,salmon,milk,HIGH,1,manual_annotations
tomkerridge,salmon,fish,HIGH,1,manual_annotations
tomkerridge,salmon,milk,HIGH,1,manual_annotations
tomkerridge,salmon,nuts,HIGH,1,manual_annotations
bbc,lentil dal,milk,HIGH,0,manual_annotations
bbc,lentil dal,mustard,HIGH,1,manual_annotations
bbc,lentil dal,soya,MEDIUM,0,manual_annotations
bbc,lentil dal,gluten,MEDIUM,0,manual_annotations
bbc,lentil dal,mustard,HIGH,1,manual_annotations
bbc,lentil dal,soya,MEDIUM,0,manual_annotations
bbcgoodfood,lentil dal,gluten,HIGH,0,manual_annotations
bbcgoodfood,lentil dal,milk,HIGH,0,manual_annotations
foodafactoflife,lentil dal,gluten,MEDIUM,1,manual_annotations
foodafactoflife,lentil dal,eggs,HIGH,1,manual_annotations
foodafactoflife,lentil dal,gluten,HIGH,1,manual_annotations
foodafactoflife,lentil dal,milk,HIGH,1,manual_annotations
ocado,lentil dal,mustard,HIGH,1,manual_annotations
ocado,lentil dal,nuts,HIGH,0,manual_annotations
tomkerridge,lentil dal,gluten,HIGH,1,manual_annotations
tomkerridge,lentil dal,eggs,HIGH,1,manual_annotations
tomkerridge,lentil dal,sesame,HIGH,0,manual_annotations
bbc,apple pie,gluten,MEDIUM,1,manual_annotations
bbc,apple pie,milk,HIGH,1,manual_annotations
bbc,apple pie,gluten,MEDIUM,1,manual_annotations
bbc,apple pie,milk,HIGH,1,manual_annotations
bbcgoodfood,apple pie,gluten,MEDIUM,1,manual_annotations
bbcgoodfood,apple pie,milk,HIGH,1,manual_annotations
bbcgoodfood,apple pie,gluten,MEDIUM,1,manual_annotations
bbcgoodfood,apple pie,milk,HIGH,1,manual_annotations
foodafactoflife,apple pie,celery,HIGH,1,manual_annotations
foodafactoflife,apple pie,fish,MEDIUM,0,manual_annotations
foodafactoflife,apple pie,milk,HIGH,1,manual_annotations
foodafactoflife,apple pie,soya,HIGH,0,manual_annotations
foodafactoflife,apple pie,gluten,MEDIUM,1,manual_annotations
foodafactoflife,apple pie,milk,HIGH,1,manual_annotations
foodafactoflife,apple pie,sulphites,HIGH,0,manual_annotations
ocado,apple pie,milk,HIGH,1,manual_annotations
ocado,apple pie,milk,HIGH,1,manual_annotations
realfooddietitians,apple pie,eggs,HIGH,1,manual_annotations
tomkerridge,apple pie,celery,HIGH,1,manual_annotations
tomkerridge,apple pie,fish,MEDIUM,0,manual_annotations
tomkerridge,apple pie,milk,HIGH,1,manual_annotations
tomkerridge,apple pie,gluten,HIGH,1,manual_annotations
tomkerridge,apple pie,eggs,HIGH,1,manual_annotations
tomkerridge,apple pie,milk,HIGH,1,manual_annotations
tomkerridge,apple pie,mustard,HIGH,0,manual_annotations
