run_idx,repeat,query,query_category,source,source_name,source_status,recipes_found,success,has_403,latency_ms,fallback_external_used,fallback_mirror_used,source_unavailable,http_statuses
1,1,chicken curry,main,bbc,BBC Food,ok,1,1,0,4687.969999999041,0,0,0,[200]
2,1,chicken curry,main,simply,Simply Recipes,partial,1,1,1,33117.88929998875,1,1,0,"[202, 403]"
3,1,chicken curry,main,serious,Serious Eats,temporarily_unavailable,0,0,1,35187.82350001857,1,1,1,"[202, 403]"
4,1,vegetarian pasta,main,bbc,BBC Food,ok,1,1,0,4371.718799986411,0,0,0,[200]
5,1,vegetarian pasta,main,simply,Simply Recipes,partial,1,1,1,41316.697200003546,1,1,0,"[202, 403]"
6,1,vegetarian pasta,main,serious,Serious Eats,temporarily_unavailable,0,0,1,56937.05390000832,1,1,1,"[202, 403]"
7,1,chocolate cake,dessert,bbc,BBC Food,ok,1,1,0,5123.333600000478,0,0,0,[200]
8,1,chocolate cake,dessert,simply,Simply Recipes,partial,1,1,1,45428.29810001422,1,1,0,"[202, 403]"
9,1,chocolate cake,dessert,serious,Serious Eats,temporarily_unavailable,0,0,1,15709.02379998006,1,1,1,"[202, 403]"
