source_a,source_b,odds_ratio,or_ci_low,or_ci_high
bbc,simply,1.0,0.015137513642050368,66.06104698872797
bbc,serious,49.0,0.7417381684604683,3236.9913024476687
simply,serious,49.0,0.7417381684604683,3236.9913024476687
