Epoch,Training_Loss,Validation_Loss,Training_Accuracy,Validation_Accuracy
1,0.6618983149528503,0.437566339969635,0.6808161735534668,0.7985550165176392
2,0.4875246286392212,0.3909596800804138,0.7870286107063293,0.8253293633460999
3,0.43521901965141296,0.37567177414894104,0.8136272430419922,0.8351041078567505
4,0.42257094383239746,0.3685411512851715,0.8159956336021423,0.8334041833877563
5,0.41416358947753906,0.36620277166366577,0.8210967183113098,0.832129180431366
6,0.40747565031051636,0.36372309923171997,0.8172709345817566,0.8325541615486145
7,0.4002651870250702,0.36046260595321655,0.8241938352584839,0.8334041833877563
8,0.3909963071346283,0.35850924253463745,0.8261978626251221,0.834679126739502
9,0.3948039412498474,0.3583509624004364,0.8210967183113098,0.8334041833877563
10,0.3833200931549072,0.35637956857681274,0.8305702209472656,0.8342541456222534
11,0.3843502104282379,0.3548731207847595,0.826926589012146,0.8342541456222534
12,0.3736354410648346,0.35370123386383057,0.8342138528823853,0.8351041078567505
13,0.37140947580337524,0.3517928123474121,0.8282018303871155,0.8376540541648865
14,0.3684544861316681,0.3514676094055176,0.831116795539856,0.8389289975166321
15,0.3652189075946808,0.351447731256485,0.8342138528823853,0.8393540382385254
16,0.3655669391155243,0.35063862800598145,0.834578275680542,0.8351041078567505
17,0.36741283535957336,0.35109102725982666,0.8298414945602417,0.834679126739502
18,0.3639938533306122,0.3504021167755127,0.830752432346344,0.8351041078567505
19,0.3578128516674042,0.3494819700717926,0.8387684226036072,0.8342541456222534
20,0.360995352268219,0.3484175205230713,0.8309345841407776,0.8359541296958923
21,0.359010249376297,0.34834855794906616,0.8358535170555115,0.838079035282135
22,0.353942334651947,0.34795254468917847,0.8418655395507812,0.8363791108131409
23,0.35737860202789307,0.34752124547958374,0.8398615121841431,0.8372290730476379
24,0.3598543405532837,0.3467736840248108,0.8331207633018494,0.8376540541648865
25,0.3528658151626587,0.3462983965873718,0.8387684226036072,0.8372290730476379
26,0.3558109998703003,0.34581315517425537,0.834942638874054,0.8389289975166321
27,0.3587050437927246,0.34649282693862915,0.8334851264953613,0.838079035282135
28,0.35306525230407715,0.3465299904346466,0.8382219076156616,0.8372290730476379
29,0.3514350354671478,0.34630319476127625,0.8407724499702454,0.8372290730476379
30,0.3495595455169678,0.3455726206302643,0.8356713652610779,0.838079035282135
31,0.3540750741958618,0.34529200196266174,0.8405902981758118,0.8402040004730225
32,0.3498070240020752,0.3453357517719269,0.8340317010879517,0.8393540382385254
33,0.3494730591773987,0.3456706404685974,0.8382219076156616,0.840628981590271
34,0.35086849331855774,0.346129834651947,0.8373109698295593,0.8385040163993835
35,0.34874871373176575,0.3462147116661072,0.8382219076156616,0.8372290730476379
36,0.34881678223609924,0.34589946269989014,0.8393149971961975,0.838079035282135
