,False_Positive_Rate,True_Positive_Rate,Thresholds
0,0.0,0.0,inf
1,0.0,0.0018450184501845018,0.9286008
2,0.0,0.012915129151291513,0.8817083
3,0.0005521811154058532,0.012915129151291513,0.8776593
4,0.0005521811154058532,0.016605166051660517,0.87477857
5,0.0011043622308117063,0.016605166051660517,0.87431544
6,0.0011043622308117063,0.03505535055350553,0.8390807
7,0.0016565433462175593,0.03505535055350553,0.83907354
8,0.0016565433462175593,0.03690036900369004,0.83684784
9,0.0022087244616234127,0.03690036900369004,0.83619386
10,0.0022087244616234127,0.04797047970479705,0.82668674
11,0.0033130866924351186,0.04797047970479705,0.82083356
12,0.0033130866924351186,0.055350553505535055,0.81499815
13,0.003865267807840972,0.055350553505535055,0.8107132
14,0.003865267807840972,0.08302583025830258,0.7752445
15,0.004417448923246825,0.08302583025830258,0.7741945
16,0.004417448923246825,0.08856088560885608,0.77197576
17,0.004969630038652678,0.08856088560885608,0.77183086
18,0.004969630038652678,0.0940959409594096,0.77117467
19,0.005521811154058531,0.0940959409594096,0.77039355
20,0.005521811154058531,0.11070110701107011,0.7640636
21,0.006073992269464384,0.11070110701107011,0.76364625
22,0.006073992269464384,0.11254612546125461,0.7620337
23,0.006626173384870237,0.11254612546125461,0.761616
24,0.006626173384870237,0.11992619926199262,0.7565045
25,0.00717835450027609,0.11992619926199262,0.7559609
26,0.00717835450027609,0.12730627306273062,0.7522379
27,0.007730535615681944,0.12730627306273062,0.75155854
28,0.007730535615681944,0.12915129151291513,0.747281
29,0.00883489784649365,0.12915129151291513,0.7451097
30,0.00883489784649365,0.14022140221402213,0.7388936
31,0.009387078961899503,0.14022140221402213,0.73805547
32,0.009387078961899503,0.14391143911439114,0.73637176
33,0.009939260077305357,0.14391143911439114,0.73534584
34,0.009939260077305357,0.14575645756457564,0.73489064
35,0.010491441192711209,0.14575645756457564,0.73413694
36,0.010491441192711209,0.15498154981549817,0.7305336
37,0.011043622308117063,0.15498154981549817,0.7289876
38,0.011043622308117063,0.15682656826568267,0.7280469
39,0.011595803423522915,0.15682656826568267,0.72653407
40,0.011595803423522915,0.15867158671586715,0.72556067
41,0.012147984538928768,0.15867158671586715,0.7248665
42,0.012147984538928768,0.16789667896678967,0.7195472
43,0.013804527885146328,0.16789667896678967,0.7176488
44,0.013804527885146328,0.17896678966789667,0.71404076
45,0.01435670900055218,0.17896678966789667,0.7137349
46,0.01435670900055218,0.18265682656826568,0.71123755
47,0.015461071231363888,0.18265682656826568,0.7100845
48,0.015461071231363888,0.1937269372693727,0.7054609
49,0.016565433462175594,0.1937269372693727,0.7029962
50,0.016565433462175594,0.20848708487084872,0.6989808
51,0.018221976808393152,0.20848708487084872,0.69747376
52,0.018221976808393152,0.21955719557195572,0.6948386
53,0.018774157923799006,0.21955719557195572,0.69454
54,0.018774157923799006,0.25461254612546125,0.6821332
55,0.01932633903920486,0.25461254612546125,0.68055326
56,0.01932633903920486,0.26014760147601473,0.6799961
57,0.019878520154610713,0.26014760147601473,0.6798722
58,0.019878520154610713,0.26199261992619927,0.6789803
59,0.020430701270016567,0.26199261992619927,0.6783345
60,0.020430701270016567,0.2785977859778598,0.66759765
61,0.020982882385422418,0.2785977859778598,0.66705143
62,0.020982882385422418,0.28044280442804426,0.66660726
63,0.022087244616234125,0.28044280442804426,0.6656823
64,0.022087244616234125,0.2859778597785978,0.6616874
65,0.02263942573163998,0.2859778597785978,0.6601707
66,0.02263942573163998,0.2896678966789668,0.65679395
67,0.023743787962451683,0.2896678966789668,0.6549033
68,0.023743787962451683,0.2952029520295203,0.650753
69,0.024295969077857537,0.2952029520295203,0.6507405
