source,query,allergen,confidence,correct_against_silver_truth
foodafactoflife,mushroom soup,gluten,HIGH,1
ocado,mushroom soup,fish,HIGH,1
ocado,mushroom soup,celery,HIGH,1
ocado,mushroom soup,gluten,MEDIUM,1
ocado,mushroom soup,eggs,HIGH,1
ocado,mushroom soup,milk,HIGH,1
ocado,mushroom soup,nuts,HIGH,1
realfooddietitians,mushroom soup,milk,HIGH,1
realfooddietitians,mushroom soup,gluten,MEDIUM,0
realfooddietitians,mushroom soup,celery,HIGH,1
realfooddietitians,mushroom soup,milk,HIGH,1
tomkerridge,mushroom soup,gluten,HIGH,1
tomkerridge,mushroom soup,eggs,HIGH,1
tomkerridge,mushroom soup,molluscs,HIGH,1
tomkerridge,mushroom soup,sesame,HIGH,1
tomkerridge,mushroom soup,soya,HIGH,1
tomkerridge,mushroom soup,sulphites,MEDIUM,1
tomkerridge,mushroom soup,gluten,HIGH,1
tomkerridge,mushroom soup,eggs,HIGH,1
tomkerridge,mushroom soup,soya,HIGH,1
bbc,salmon,fish,HIGH,1
bbc,salmon,gluten,HIGH,1
bbc,salmon,eggs,HIGH,1
bbc,salmon,fish,HIGH,1
bbc,salmon,milk,HIGH,1
bbc,salmon,sulphites,MEDIUM,1
bbcgoodfood,salmon,fish,HIGH,1
bbcgoodfood,salmon,milk,HIGH,1
bbcgoodfood,salmon,gluten,HIGH,1
bbcgoodfood,salmon,fish,HIGH,1
bbcgoodfood,salmon,sesame,HIGH,1
bbcgoodfood,salmon,soya,HIGH,1
foodafactoflife,salmon,gluten,MEDIUM,1
foodafactoflife,salmon,eggs,HIGH,1
foodafactoflife,salmon,sulphites,MEDIUM,0
foodafactoflife,salmon,gluten,HIGH,1
foodafactoflife,salmon,milk,HIGH,1
ocado,salmon,fish,HIGH,1
ocado,salmon,gluten,HIGH,1
ocado,salmon,fish,HIGH,1
ocado,salmon,milk,HIGH,1
ocado,salmon,sesame,HIGH,1
ocado,salmon,soya,HIGH,1
realfooddietitians,salmon,fish,HIGH,1
realfooddietitians,salmon,milk,HIGH,1
realfooddietitians,salmon,fish,HIGH,1
realfooddietitians,salmon,milk,HIGH,1
tomkerridge,salmon,eggs,HIGH,1
tomkerridge,salmon,fish,HIGH,1
tomkerridge,salmon,milk,HIGH,1
tomkerridge,salmon,fish,HIGH,1
tomkerridge,salmon,milk,HIGH,1
tomkerridge,salmon,nuts,HIGH,1
bbc,lentil dal,milk,HIGH,1
bbc,lentil dal,mustard,HIGH,1
bbc,lentil dal,soya,MEDIUM,0
bbc,lentil dal,gluten,MEDIUM,1
bbc,lentil dal,mustard,HIGH,1
bbc,lentil dal,soya,MEDIUM,0
bbcgoodfood,lentil dal,gluten,HIGH,1
bbcgoodfood,lentil dal,milk,HIGH,1
foodafactoflife,lentil dal,gluten,MEDIUM,1
foodafactoflife,lentil dal,eggs,HIGH,1
foodafactoflife,lentil dal,sulphites,MEDIUM,0
foodafactoflife,lentil dal,gluten,HIGH,1
foodafactoflife,lentil dal,milk,HIGH,1
ocado,lentil dal,mustard,HIGH,1
ocado,lentil dal,nuts,HIGH,1
tomkerridge,lentil dal,gluten,HIGH,1
tomkerridge,lentil dal,eggs,HIGH,1
tomkerridge,lentil dal,sesame,HIGH,1
bbc,apple pie,gluten,MEDIUM,1
bbc,apple pie,eggs,HIGH,1
bbc,apple pie,milk,HIGH,1
bbc,apple pie,gluten,MEDIUM,1
bbc,apple pie,eggs,HIGH,1
bbc,apple pie,milk,HIGH,1
bbcgoodfood,apple pie,gluten,MEDIUM,1
bbcgoodfood,apple pie,eggs,HIGH,1
bbcgoodfood,apple pie,milk,HIGH,1
bbcgoodfood,apple pie,gluten,MEDIUM,1
bbcgoodfood,apple pie,milk,HIGH,1
foodafactoflife,apple pie,celery,HIGH,1
foodafactoflife,apple pie,gluten,HIGH,1
foodafactoflife,apple pie,fish,MEDIUM,1
foodafactoflife,apple pie,milk,HIGH,1
foodafactoflife,apple pie,soya,HIGH,1
foodafactoflife,apple pie,gluten,MEDIUM,1
foodafactoflife,apple pie,milk,HIGH,1
foodafactoflife,apple pie,sulphites,HIGH,1
ocado,apple pie,milk,HIGH,1
ocado,apple pie,milk,HIGH,1
realfooddietitians,apple pie,eggs,HIGH,1
tomkerridge,apple pie,celery,HIGH,1
tomkerridge,apple pie,fish,MEDIUM,1
tomkerridge,apple pie,milk,HIGH,1
tomkerridge,apple pie,gluten,HIGH,1
tomkerridge,apple pie,eggs,HIGH,1
tomkerridge,apple pie,milk,HIGH,1
tomkerridge,apple pie,mustard,HIGH,1
