run_idx,repeat,query,query_category,source,source_name,source_status,recipes_found,success,has_403,latency_ms,fallback_external_used,fallback_mirror_used,source_unavailable,http_statuses
55,3,roast chicken,main,bbc,BBC Food,ok,1,1,0,2619.7324999957345,0,0,0,[200]
56,3,tacos,main,bbc,BBC Food,ok,1,1,0,2608.3252000098582,0,0,0,[200]
57,3,pancakes,breakfast,bbc,BBC Food,ok,1,1,0,2175.748899986502,0,0,0,[200]
58,3,omelette,breakfast,bbc,BBC Food,ok,1,1,0,3121.4711000211537,0,0,0,[200]
59,3,ramen,main,bbc,BBC Food,ok,1,1,0,2290.245499985758,0,0,0,[200]
60,3,stir fry,main,bbc,BBC Food,ok,1,1,0,2172.039000026416,0,0,0,[200]
61,4,chicken curry,main,bbc,BBC Food,ok,1,1,0,2832.935999991605,0,0,0,[200]
62,4,vegetarian pasta,main,bbc,BBC Food,ok,1,1,0,2826.8359000212513,0,0,0,[200]
63,4,chocolate cake,dessert,bbc,BBC Food,ok,1,1,0,1776.928000006592,0,0,0,[200]
64,4,beef stew,main,bbc,BBC Food,ok,1,1,0,2320.5511999840382,0,0,0,[200]
65,4,mushroom soup,main,bbc,BBC Food,ok,1,1,0,3126.781300001312,0,0,0,[200]
66,4,salmon,main,bbc,BBC Food,ok,1,1,0,1703.7147000082768,0,0,0,[200]
67,4,lentil dal,main,bbc,BBC Food,ok,1,1,0,3189.9799999955576,0,0,0,[200]
68,4,apple pie,dessert,bbc,BBC Food,ok,1,1,0,2048.700299987104,0,0,0,[200]
69,4,lasagne,main,bbc,BBC Food,ok,1,1,0,2383.3125999954063,0,0,0,[200]
70,4,thai curry,main,bbc,BBC Food,ok,1,1,0,2204.6714999887627,0,0,0,[200]
71,4,brownies,dessert,bbc,BBC Food,ok,1,1,0,2416.2119000102393,0,0,0,[200]
72,4,risotto,main,bbc,BBC Food,ok,1,1,0,2476.2691000069026,0,0,0,[200]
73,4,vegan burger,main,bbc,BBC Food,ok,1,1,0,2046.3760999846272,0,0,0,[200]
74,4,banana bread,dessert,bbc,BBC Food,ok,1,1,0,2624.4288999878336,0,0,0,[200]
75,4,roast chicken,main,bbc,BBC Food,ok,1,1,0,1844.205100002,0,0,0,[200]
76,4,tacos,main,bbc,BBC Food,ok,1,1,0,3172.7551000076346,0,0,0,[200]
77,4,pancakes,breakfast,bbc,BBC Food,ok,1,1,0,2389.043400005903,0,0,0,[200]
78,4,omelette,breakfast,bbc,BBC Food,ok,1,1,0,1734.3447000021115,0,0,0,[200]
79,4,ramen,main,bbc,BBC Food,ok,1,1,0,2277.8103000018746,0,0,0,[200]
80,4,stir fry,main,bbc,BBC Food,ok,1,1,0,1847.9529000178445,0,0,0,[200]
81,5,chicken curry,main,bbc,BBC Food,ok,1,1,0,2044.4139000028372,0,0,0,[200]
82,5,vegetarian pasta,main,bbc,BBC Food,ok,1,1,0,2718.9987000019755,0,0,0,[200]
83,5,chocolate cake,dessert,bbc,BBC Food,ok,1,1,0,2336.3070000195876,0,0,0,[200]
84,5,beef stew,main,bbc,BBC Food,ok,1,1,0,2265.1861000049394,0,0,0,[200]
85,5,mushroom soup,main,bbc,BBC Food,ok,1,1,0,1825.1448000082746,0,0,0,[200]
86,5,salmon,main,bbc,BBC Food,ok,1,1,0,3053.261199995177,0,0,0,[200]
87,5,lentil dal,main,bbc,BBC Food,ok,1,1,0,2716.4940000220668,0,0,0,[200]
88,5,apple pie,dessert,bbc,BBC Food,ok,1,1,0,2395.1811000006273,0,0,0,[200]
89,5,lasagne,main,bbc,BBC Food,ok,1,1,0,1956.9619999965653,0,0,0,[200]
90,5,thai curry,main,bbc,BBC Food,ok,1,1,0,2225.7043000136036,0,0,0,[200]
